line_id,document_ids,tier,score,confidence,auto_post,amount_diff_paise,evidence,n_docs
BL-000029,AR-INV-2026-000255;AR-INV-2026-000213;AR-INV-2026-000233,t2_advice_utr,1.0,0.803,no,20010700,advice_utr=900000080364 +residual_alloc(2 docs),3
BL-000142,AR-INV-2026-000149;AR-INV-2026-000288;AR-INV-2026-000303,t3_doc_number,0.7,0.808,no,0,"doc_ref=INV-2026-000149,INV-2026-000288,INV-2026-000303",3
BL-000741,AR-INV-2026-000713;AR-INV-2026-000720;AR-INV-2026-000838,t3_doc_number,0.789,0.823,no,0,"doc_ref=INV-2026-000713,INV-2026-000720,INV-2026-000838",3
BL-000882,AR-INV-2026-000982,t2_advice_utr,1.0,0.832,no,85909500,advice_utr=900000080867,1
BL-000179,AR-INV-2026-000378;AR-INV-2026-000323;AR-INV-2026-000392,t2_advice_utr,1.0,0.84,no,78091300,advice_utr=900000080595 +residual_alloc(2 docs),3
BL-001212,AP-RT-2026-000653,t5_amount_name,0.862,0.853,no,0,amount_within_tolerance(0p)+name(0.86),1
BL-001624,AP-VB-2026-001773,t5_amount_name,0.935,0.857,no,6000,amount_within_tolerance(6000p)+name(0.93),1
BL-000323,AR-INV-2026-000345,t4_amount_exact,0.9,0.893,no,0,amount_exact_unique,1
BL-000691,AP-RT-2026-000667,t4_amount_exact,0.9,0.895,no,0,amount_exact_unique,1
BL-001667,AP-EMI-202609-0,t4_amount_exact,0.9,0.895,no,0,amount_exact_unique,1
BL-000104,AP-VB-2026-000416,t4_amount_exact,0.9,0.896,no,0,amount_exact_unique,1
BL-001169,AR-INV-2026-000871,t4_amount_exact,0.9,0.897,no,0,amount_exact_unique,1
BL-001337,AR-INV-2026-001389,t4_amount_exact,0.9,0.897,no,0,amount_exact_unique,1
BL-000980,AR-INV-2026-001208,t4_amount_exact,0.9,0.898,no,0,amount_exact_unique,1
BL-001188,AP-RT-2026-001026,t4_amount_exact,0.9,0.898,no,0,amount_exact_unique,1
BL-000609,AR-INV-2026-000409,t4_amount_exact,0.9,0.899,no,0,amount_exact_unique,1
BL-000042,AP-SALARY-202604-0,t4_amount_exact,0.9,0.9,yes,0,amount_exact_unique,1
BL-000618,AP-VB-2026-000602,t4_amount_exact,0.9,0.9,yes,0,amount_exact_unique,1
BL-000823,AR-INV-2026-000834,t4_amount_exact,0.9,0.9,yes,0,amount_exact_unique,1
BL-000997,AP-VB-2026-001043,t4_amount_exact,0.9,0.901,yes,0,amount_exact_unique,1
BL-001017,AR-INV-2026-001209,t4_amount_exact,0.9,0.901,yes,0,amount_exact_unique,1
BL-001200,AP-RT-2026-001247,t4_amount_exact,0.9,0.901,yes,0,amount_exact_unique,1
BL-000054,AP-RT-2026-000039,t4_amount_exact,0.9,0.902,yes,0,amount_exact_unique,1
BL-000120,AP-VB-2026-000057,t4_amount_exact,0.9,0.902,yes,0,amount_exact_unique,1
BL-000346,AR-INV-2026-000306,t4_amount_exact,0.9,0.902,yes,0,amount_exact_unique,1
BL-001040,AP-RT-2026-001150,t4_amount_exact,0.9,0.902,yes,0,amount_exact_unique,1
BL-001277,AP-RT-2026-001426,t4_amount_exact,0.9,0.902,yes,0,amount_exact_unique,1
BL-001307,AP-VB-2026-001250,t4_amount_exact,0.9,0.902,yes,0,amount_exact_unique,1
BL-001411,AP-VB-2026-001154,t4_amount_exact,0.9,0.902,yes,0,amount_exact_unique,1
BL-000167,AR-INV-2026-000107,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-000281,AP-RT-2026-000137,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-000307,AR-INV-2026-000001,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-000435,AP-RT-2026-000697,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-000874,AR-INV-2026-000835,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-000983,AR-INV-2026-001125,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-001024,AR-INV-2026-001105,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-001027,AR-INV-2026-001005,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-001171,AR-INV-2026-000926,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-001470,AR-INV-2026-001457,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-001483,AR-INV-2026-001166,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-001658,AP-VB-2026-001749,t4_amount_exact,0.9,0.903,yes,0,amount_exact_unique,1
BL-000033,AP-VB-2026-000081,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-000313,AR-INV-2026-000123,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-000375,AR-INV-2026-000394,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-000625,AR-INV-2026-000920,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-000642,AR-INV-2026-000561,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-001029,AR-INV-2026-001244,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-001039,AR-INV-2026-000774,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-001295,AP-VB-2026-000889,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-001395,AR-INV-2026-001540,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-001517,AR-INV-2026-001789,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-001607,AP-RT-2026-001701,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-001639,AP-VB-2026-001641,t4_amount_exact,0.9,0.904,yes,0,amount_exact_unique,1
BL-000132,AP-RT-2026-000299,t4_amount_exact,0.9,0.905,yes,0,amount_exact_unique,1
BL-000183,AR-INV-2026-000125,t4_amount_exact,0.9,0.905,yes,0,amount_exact_unique,1
BL-000380,AP-VB-2026-000601,t4_amount_exact,0.9,0.905,yes,0,amount_exact_unique,1
BL-000525,AR-INV-2026-000467,t4_amount_exact,0.9,0.905,yes,0,amount_exact_unique,1
BL-000610,AP-SALARY-202606-0,t4_amount_exact,0.9,0.905,yes,0,amount_exact_unique,1
BL-000905,AR-INV-2026-000763,t4_amount_exact,0.9,0.905,yes,0,amount_exact_unique,1
BL-001276,AP-VB-2026-001321,t4_amount_exact,0.9,0.905,yes,0,amount_exact_unique,1
BL-001485,AR-INV-2026-001335,t4_amount_exact,0.9,0.905,yes,0,amount_exact_unique,1
BL-001539,AP-RT-2026-001325,t4_amount_exact,0.9,0.905,yes,0,amount_exact_unique,1
BL-000521,AP-VB-2026-000655,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-000547,AR-INV-2026-000278,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-000637,AP-VB-2026-000660,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-000677,AP-VB-2026-000404,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-000678,AP-RENT-202606-0,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-000807,AP-VB-2026-000916,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-000965,AP-GST-202607,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-000967,AP-RENT-202607-0,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-001153,AR-INV-2026-001178,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-001509,AP-VB-2026-001344,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-001534,AR-INV-2026-001365,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-001580,AP-RT-2026-001688,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-001662,AR-INV-2026-001291,t4_amount_exact,0.9,0.906,yes,0,amount_exact_unique,1
BL-000244,AR-INV-2026-000129,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-000273,AP-RT-2026-000373,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-000311,AR-INV-2026-000280,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-000523,AR-INV-2026-000284,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-000607,AR-INV-2026-000785,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-001058,AR-INV-2026-000999,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-001119,AR-INV-2026-000972,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-001125,AR-INV-2026-001368,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-001137,AP-VB-2026-001341,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-001325,AP-RT-2026-001111,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-001332,AP-RENT-202608-0,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-001660,AR-INV-2026-001480,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-001695,AP-RT-2026-001300,t4_amount_exact,0.9,0.907,yes,0,amount_exact_unique,1
BL-000353,AP-VB-2026-000400,t4_amount_exact,0.9,0.908,yes,0,amount_exact_unique,1
BL-000675,AR-INV-2026-000849,t4_amount_exact,0.9,0.908,yes,0,amount_exact_unique,1
BL-000686,AR-INV-2026-000421,t4_amount_exact,0.9,0.908,yes,0,amount_exact_unique,1
BL-000992,AP-VB-2026-000965,t4_amount_exact,0.9,0.908,yes,0,amount_exact_unique,1
BL-001008,AP-RT-2026-001070,t4_amount_exact,0.9,0.908,yes,0,amount_exact_unique,1
BL-001079,AP-RT-2026-000790,t4_amount_exact,0.9,0.908,yes,0,amount_exact_unique,1
BL-001449,AP-VB-2026-000947,t4_amount_exact,0.9,0.908,yes,0,amount_exact_unique,1
BL-000164,AR-INV-2026-000478,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000185,AR-INV-2026-000182,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000209,AR-INV-2026-000060,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000257,AR-INV-2026-000285,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000261,AP-RT-2026-000334,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000295,AR-INV-2026-000242,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000594,AR-INV-2026-000450,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000658,AP-VB-2026-000830,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000669,AP-VB-2026-000621,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000859,AP-VB-2026-000728,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000892,AP-RT-2026-000622,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000990,AP-VB-2026-000828,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001023,AP-VB-2026-001186,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001068,AR-INV-2026-001366,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001129,AP-VB-2026-001352,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001138,AP-VB-2026-000913,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001224,AR-INV-2026-000877,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001270,AR-INV-2026-001191,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001329,AR-INV-2026-001295,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001334,AP-RT-2026-001045,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001436,AR-INV-2026-001281,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001471,AP-RT-2026-001248,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001494,AP-VB-2026-001155,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001538,AP-VB-2026-001586,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-001596,AP-VB-2026-001267,t4_amount_exact,0.9,0.909,yes,0,amount_exact_unique,1
BL-000060,AP-GST-202604,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000090,AP-VB-2026-000015,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000236,AP-VB-2026-000429,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000241,AR-INV-2026-000187,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000505,AP-RT-2026-000223,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000514,AR-INV-2026-000309,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000647,AR-INV-2026-000312,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000711,AR-INV-2026-000571,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000755,AP-VB-2026-000521,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000903,AR-INV-2026-000909,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000935,AP-RT-2026-000587,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-001009,AP-RT-2026-000618,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-001101,AP-RT-2026-001136,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-001132,AP-RT-2026-000978,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-001154,AP-RT-2026-001101,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-001186,AP-VB-2026-001196,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-001199,AP-RT-2026-001071,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-001446,AP-VB-2026-001272,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-001513,AP-VB-2026-001573,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-001545,AP-VB-2026-001603,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-001598,AP-VB-2026-001809,t4_amount_exact,0.9,0.91,yes,0,amount_exact_unique,1
BL-000002,AP-EMI-202603-0,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000200,AP-VB-2026-000419,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000259,AR-INV-2026-000629,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000292,AR-INV-2026-000638,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000333,AP-RT-2026-000264,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000418,AP-VB-2026-000458,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000428,AR-INV-2026-000180,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000471,AP-RT-2026-000698,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000635,AR-INV-2026-000577,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000660,AP-VB-2026-000340,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000663,AR-INV-2026-000845,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000737,AP-VB-2026-000727,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000776,AP-VB-2026-000772,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000778,AP-VB-2026-000507,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000791,AR-INV-2026-000604,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000809,AR-INV-2026-000824,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000925,AP-RT-2026-001122,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000934,AP-VB-2026-000973,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000944,AR-INV-2026-001296,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000964,AR-INV-2026-001051,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-001078,AR-INV-2026-000998,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-001175,AR-INV-2026-000869,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-001428,AR-INV-2026-001278,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-001524,AP-RT-2026-001214,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-001612,AP-RT-2026-001590,t4_amount_exact,0.9,0.911,yes,0,amount_exact_unique,1
BL-000212,AP-VB-2026-000189,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-000234,AR-INV-2026-000338,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-000415,AR-INV-2026-000217,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-000441,AP-VB-2026-000656,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-000599,AP-VB-2026-000600,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-000673,AR-INV-2026-000645,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-000679,AP-RT-2026-000448,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-000907,AP-SALARY-202607-0,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-000926,AP-RT-2026-000512,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-001033,AP-RT-2026-000668,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-001139,AP-VB-2026-000962,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-001219,AP-RT-2026-000695,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-001245,AR-INV-2026-001494,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-001404,AP-RT-2026-001373,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-001496,AP-RT-2026-001195,t4_amount_exact,0.9,0.912,yes,0,amount_exact_unique,1
BL-000364,AR-INV-2026-000220,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-000469,AP-VB-2026-000694,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-000548,AR-INV-2026-000308,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-000586,AR-INV-2026-000674,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-000587,AP-RT-2026-000686,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-000613,AP-RT-2026-000810,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-000680,AP-RT-2026-000798,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-000883,AP-VB-2026-000991,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-000991,AP-RT-2026-000661,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-001088,AR-INV-2026-000883,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-001104,AP-VB-2026-001089,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-001296,AP-VB-2026-001361,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-001401,AR-INV-2026-001345,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-001467,AR-INV-2026-001350,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-001627,AP-RT-2026-001549,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-001701,AR-INV-2026-001959,t4_amount_exact,0.9,0.913,yes,0,amount_exact_unique,1
BL-000012,AR-INV-2026-000003,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000083,AP-VB-2026-000140,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000119,AP-RT-2026-000301,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000215,AR-INV-2026-000087,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000239,AP-VB-2026-000200,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000306,AP-RT-2026-000564,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000321,AR-INV-2026-000582,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000388,AR-INV-2026-000428,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000410,AP-VB-2026-000138,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000468,AP-RT-2026-000541,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000533,AP-VB-2026-000789,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000543,AR-INV-2026-000662,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000573,AR-INV-2026-000382,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000615,AP-VB-2026-000752,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000648,AP-EMI-202606-0,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000784,AP-RT-2026-000489,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000790,AR-INV-2026-000734,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000855,AP-VB-2026-000795,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000955,AP-RT-2026-000724,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-001020,AR-INV-2026-001183,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-001144,AR-INV-2026-001097,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-001145,AR-INV-2026-001092,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-001159,AR-INV-2026-000943,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-001192,AR-INV-2026-001128,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-001206,AR-INV-2026-001108,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-001445,AP-VB-2026-001605,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-001520,AP-RT-2026-001702,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-001579,AP-RT-2026-001301,t4_amount_exact,0.9,0.914,yes,0,amount_exact_unique,1
BL-000488,AR-INV-2026-000349,t3_doc_number,0.9,0.915,no,-2517300,doc_ref=INV-2026-000349,1
BL-000015,AP-RT-2026-000029,t4_amount_exact,0.9,0.915,yes,0,amount_exact_unique,1
BL-000043,AP-VB-2026-000016,t4_amount_exact,0.9,0.915,yes,0,amount_exact_unique,1
BL-000063,AP-RT-2026-000076,t4_amount_exact,0.9,0.915,yes,0,amount_exact_unique,1
